Position,Ball_Control,Dribbling,Marking,Sliding_Tackle,Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,RESISTENCIA,FORCA,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
GK,23,11,13,15,12,16,54,12,19,41,33,11,13,11,34,35,21,38,38,27,50,14,20,11,20,13,11,14,14,71,72,69,73,73
ZAGUEIRO,65,58,70,71,75,65,61,18,69,33,67,29,62,60,67,68,68,75,63,62,72,72,33,21,23,27,57,34,17,9,14,12,8,7
ATACANTE,71,70,25,35,48,67,68,74,56,66,70,63,63,43,85,83,83,59,80,81,73,62,67,70,68,67,65,61,66,11,10,13,6,7
ZAGUEIRO,65,53,68,67,68,68,66,58,75,52,65,65,72,73,53,44,65,84,40,41,80,70,50,18,24,40,30,44,34,14,12,15,8,11
ATACANTE,71,72,23,24,40,46,64,75,66,61,65,68,66,62,76,76,67,70,68,82,61,61,65,75,64,68,69,65,65,13,10,14,14,7
ZAGUEIRO,50,50,76,70,74,66,68,26,74,20,60,24,46,50,63,67,68,78,40,59,70,68,43,15,38,16,18,35,12,9,13,9,10,11
MEIO,70,70,50,59,59,76,68,67,59,74,68,51,71,68,75,75,84,62,72,74,71,56,69,64,65,69,60,48,57,14,13,13,11,9
ZAGUEIRO,73,66,75,78,76,88,60,52,68,48,67,66,67,62,71,65,62,71,69,67,65,62,35,43,32,34,26,47,30,13,7,15,13,15
MEIO,70,66,58,61,75,72,64,58,70,68,53,56,76,72,46,53,71,76,50,62,62,56,61,37,48,59,47,46,32,11,13,14,10,10
MEIO,72,77,45,42,46,54,66,58,42,60,65,66,63,54,91,90,67,57,69,91,46,37,66,65,53,64,33,31,61,9,14,16,12,15
ZAGUEIRO,68,72,70,72,71,74,66,53,68,49,64,67,68,60,78,74,75,75,71,59,67,59,79,41,45,52,70,55,37,8,10,14,13,16
ZAGUEIRO,51,33,67,67,74,72,68,36,67,38,61,32,57,50,35,60,56,90,41,46,50,71,64,21,35,30,29,47,37,8,8,15,7,11
ZAGUEIRO,66,55,77,73,80,74,68,59,71,49,68,52,68,66,72,74,69,79,64,60,76,72,34,24,28,34,26,43,32,11,7,8,15,12
MEIO,68,67,59,68,62,62,66,66,57,63,29,77,71,73,78,77,86,67,57,57,73,44,65,50,71,66,43,33,35,9,10,10,8,9
MEIO,69,70,20,24,21,41,71,70,23,64,68,65,66,51,83,82,72,72,76,77,80,68,72,73,66,67,46,68,68,8,12,7,12,8
MEIO,74,76,49,32,40,52,67,69,44,67,72,64,73,65,74,79,69,75,74,78,55,55,67,61,54,56,51,58,57,7,6,13,14,9
MEIO,72,64,59,63,65,68,69,69,70,71,73,67,72,70,58,56,82,60,67,69,66,58,71,54,67,65,63,58,62,16,13,14,14,8
ZAGUEIRO,33,30,73,71,75,74,60,23,68,30,42,35,45,44,49,63,68,86,40,50,69,77,64,24,28,30,33,50,28,14,16,9,7,13
GK,23,13,12,19,13,30,64,12,25,35,60,14,12,13,33,32,27,65,32,34,70,11,24,13,17,18,17,17,16,65,73,58,72,76
MEIO,70,65,65,63,69,75,68,67,65,76,66,67,73,70,68,63,90,70,82,75,74,62,72,55,70,66,69,72,57,10,10,15,12,8
ZAGUEIRO,63,46,70,70,68,72,70,38,74,63,71,52,61,58,68,77,62,70,66,73,81,67,60,36,41,50,32,34,31,14,11,11,8,7
ZAGUEIRO,66,67,69,70,72,69,68,53,67,54,65,71,64,67,75,73,76,68,68,74,56,59,60,20,26,70,29,41,35,11,15,9,10,11
ZAGUEIRO,71,66,68,70,70,69,69,67,65,57,61,74,63,55,79,76,75,61,81,73,80,52,61,51,51,63,40,41,33,7,14,15,14,13
ZAGUEIRO,71,74,65,68,67,68,68,65,65,63,60,64,65,55,87,89,76,82,80,79,77,62,74,56,53,62,34,68,64,10,9,8,7,9
MEIO,73,76,36,30,33,64,71,69,38,63,62,64,74,65,74,68,68,70,73,76,72,64,67,55,54,71,67,70,58,14,14,7,9,13
MEIO,70,65,70,71,68,76,74,60,75,62,67,71,67,68,74,74,67,69,65,71,67,62,70,53,62,64,58,65,48,13,10,7,8,13
MEIO,67,45,67,69,75,61,74,43,72,63,50,50,71,68,54,55,78,73,54,59,73,56,42,38,31,50,34,36,23,11,13,12,7,13
MEIO,69,67,69,65,70,68,70,67,74,72,66,66,72,71,69,66,76,60,71,73,74,58,64,51,69,66,68,70,51,13,13,7,13,6
ZAGUEIRO,65,64,70,70,67,70,59,65,64,69,63,77,66,68,77,82,84,54,73,75,74,65,66,35,58,79,78,69,27,12,11,9,13,12
MEIO,71,73,19,15,20,71,69,68,23,56,74,64,60,52,91,92,85,39,84,88,82,66,69,70,72,72,67,65,66,10,13,16,8,8
MEIO,75,78,38,39,41,60,68,68,48,62,73,66,68,65,85,83,71,43,82,89,81,40,57,44,52,59,57,54,53,13,9,16,6,10
ZAGUEIRO,54,48,70,65,72,78,57,30,68,43,47,32,58,53,54,55,66,85,47,60,82,75,61,22,35,49,46,49,34,6,6,7,12,14
MEIO,67,66,69,72,72,74,70,54,72,65,72,66,70,62,81,76,91,62,81,73,75,54,35,23,24,63,59,48,53,14,13,6,6,12
MEIO,72,70,37,35,39,49,70,71,34,68,65,65,69,68,76,75,69,69,68,74,67,58,76,67,70,78,70,77,65,6,13,10,15,11
ZAGUEIRO,61,56,68,67,75,85,65,49,69,57,61,34,63,58,67,72,69,82,46,57,62,59,68,40,51,24,12,44,23,12,13,11,12,13
ATACANTE,71,77,22,23,28,41,69,68,61,60,44,69,63,61,90,91,67,63,81,84,80,35,63,61,52,65,42,64,59,7,15,12,15,7
ZAGUEIRO,59,57,64,69,75,76,53,37,65,48,54,39,64,68,59,63,64,89,37,54,65,75,68,29,24,37,39,41,29,15,13,8,10,11
MEIO,69,64,69,68,70,66,70,49,74,63,76,54,74,67,61,55,73,72,68,72,87,61,62,41,49,53,48,50,40,10,6,13,13,9
ZAGUEIRO,54,43,70,68,70,79,67,26,69,37,63,22,65,62,48,48,69,88,42,46,68,78,62,32,30,22,24,44,32,10,6,15,13,7
ZAGUEIRO,62,51,71,70,72,71,69,52,70,49,58,49,71,64,52,51,63,77,57,58,59,72,61,29,34,27,31,42,23,9,6,8,14,9
MEIO,71,73,41,34,40,71,64,64,37,61,67,67,65,60,86,85,80,61,76,88,58,53,66,61,62,71,61,45,56,16,6,12,8,10
ZAGUEIRO,51,45,72,71,70,76,64,40,70,54,63,59,58,64,34,35,59,91,34,41,46,74,58,39,35,61,55,61,47,14,9,10,14,10
MEIO,69,66,62,74,72,77,67,62,70,64,66,61,71,66,69,74,81,71,72,68,80,59,77,58,74,57,62,58,74,10,13,12,7,6
ZAGUEIRO,71,71,71,72,70,70,60,63,66,41,55,67,69,65,84,83,75,50,83,81,74,60,65,52,57,60,52,60,58,8,16,7,11,9
ATACANTE,69,63,12,16,21,56,69,72,12,52,62,50,53,41,66,69,74,77,51,59,67,82,74,70,56,29,52,56,66,14,12,8,14,10
ZAGUEIRO,64,57,65,67,74,71,71,49,63,54,51,70,70,62,73,73,83,69,70,73,92,64,30,33,30,51,50,56,30,16,9,10,7,7
ATACANTE,68,62,15,19,22,67,70,69,15,42,67,40,55,45,72,82,74,87,59,84,93,69,73,70,59,60,58,68,68,13,10,13,13,11
MEIO,73,75,30,30,34,53,63,59,30,66,62,77,67,64,75,77,80,71,63,73,61,50,74,61,71,80,75,63,62,13,14,13,13,12
MEIO,71,58,72,65,68,78,68,69,71,57,81,69,68,65,67,62,81,87,56,52,57,50,65,64,66,59,54,58,63,6,13,6,14,10
MEIO,70,69,47,54,60,65,70,67,64,72,68,67,71,72,72,65,76,56,72,72,67,59,66,57,64,62,61,55,67,12,16,14,8,11
GK,17,19,12,19,20,23,75,15,16,53,50,13,16,14,28,31,29,69,42,36,34,11,25,18,13,19,11,18,17,70,70,68,70,68
GK,37,21,9,7,21,41,66,7,21,35,30,17,47,35,36,33,25,76,31,62,79,6,22,12,21,6,23,23,18,67,69,73,71,72
ZAGUEIRO,51,45,73,70,75,65,61,13,69,24,58,20,49,49,55,55,67,87,33,56,65,74,43,21,34,28,27,38,17,13,13,6,8,15
ZAGUEIRO,72,71,66,72,69,80,64,63,71,66,66,72,68,58,73,76,76,75,74,74,69,57,69,41,58,76,56,57,36,14,11,7,8,11
ZAGUEIRO,62,43,71,69,71,76,65,39,66,46,64,47,52,44,71,67,72,75,63,60,84,70,46,39,36,36,27,39,22,15,13,15,10,16
MEIO,75,72,62,58,59,74,70,72,60,67,73,60,74,68,81,80,80,70,84,80,63,55,68,61,69,65,53,47,59,13,8,11,12,13
MEIO,72,69,66,58,68,55,67,64,69,73,70,63,77,73,60,68,83,76,62,62,70,71,76,67,75,47,67,45,58,10,8,8,7,12
ATACANTE,70,68,31,15,37,73,75,72,41,67,73,57,67,61,73,72,74,73,64,74,67,64,72,71,69,64,53,71,69,13,11,9,16,6
GK,20,15,23,13,17,24,65,10,17,23,31,10,14,12,30,35,41,79,65,27,51,21,19,14,17,15,13,13,22,73,71,66,67,74
GK,20,19,13,9,10,31,62,12,22,32,31,9,29,25,37,32,39,75,35,32,54,10,17,13,19,18,12,14,14,70,73,68,67,73
ZAGUEIRO,47,39,70,66,71,81,63,29,69,32,58,27,58,61,51,55,70,92,39,40,71,69,46,36,24,45,30,20,25,13,8,16,13,8
ZAGUEIRO,64,58,65,71,67,68,68,52,75,58,73,35,68,64,65,66,76,73,64,63,81,74,59,36,37,44,34,30,31,12,13,11,7,15
GK,14,20,14,14,15,45,78,11,15,67,63,13,39,54,54,54,38,70,53,52,70,11,13,12,15,12,17,25,12,70,68,72,64,73
MEIO,68,73,65,71,70,85,73,67,69,60,68,66,72,68,77,78,89,75,71,75,80,69,80,62,68,54,48,50,68,11,12,7,12,6
ATACANTE,71,59,24,38,34,43,77,74,33,58,57,43,68,41,64,54,60,76,52,61,73,74,70,73,67,59,67,82,69,8,8,15,15,13
ZAGUEIRO,61,55,70,70,71,81,61,25,68,58,70,66,66,63,61,54,69,80,49,58,75,69,77,32,70,48,42,52,43,12,13,8,14,13
MEIO,70,72,64,59,63,58,67,63,68,72,67,62,74,70,76,68,80,62,82,84,70,47,63,49,57,48,56,56,28,12,13,13,9,10
MEIO,77,78,19,22,27,34,65,60,31,67,70,66,73,61,76,72,74,50,51,87,60,60,64,61,64,76,58,59,66,14,7,13,6,13
GK,22,13,15,10,19,33,73,13,26,24,55,17,32,34,43,38,38,75,34,42,67,38,19,12,13,16,12,21,13,66,78,58,62,73
GK,17,16,15,12,19,22,64,12,13,52,33,18,22,21,32,46,37,68,55,49,64,13,22,14,19,20,14,20,12,72,69,66,71,70
ZAGUEIRO,69,67,69,68,66,67,68,65,66,67,70,74,71,64,75,78,81,71,71,74,72,66,77,59,64,71,68,64,59,15,13,10,10,8
MEIO,68,66,66,66,70,69,72,52,70,63,65,61,71,68,69,70,81,76,64,67,71,69,61,43,53,54,57,55,52,9,14,14,10,9
MEIO,78,72,24,23,21,39,63,61,29,72,64,64,72,64,66,64,78,62,79,71,57,45,68,58,74,78,75,81,63,10,9,15,16,7
MEIO,71,70,64,65,71,68,70,70,68,65,68,70,69,70,77,82,83,74,71,61,72,58,80,50,67,70,72,45,38,12,7,15,6,7
ZAGUEIRO,67,62,64,66,72,82,69,32,70,53,65,63,66,63,68,65,60,71,59,61,74,71,26,60,22,33,30,37,60,11,8,13,7,15
MEIO,71,67,55,48,56,53,66,64,57,79,75,72,76,76,74,68,58,57,82,87,83,31,60,66,62,67,74,76,61,14,6,9,16,8
MEIO,72,71,61,56,63,61,67,70,68,72,74,70,73,71,62,67,66,79,66,64,73,60,69,69,66,71,66,80,68,9,12,7,8,6
ZAGUEIRO,54,32,66,66,74,72,59,29,72,38,61,42,61,51,62,66,73,78,49,62,78,75,56,13,22,33,20,24,40,7,16,8,10,8
ZAGUEIRO,70,71,63,71,66,77,70,64,63,64,71,73,70,67,76,74,78,69,74,65,69,65,76,43,69,69,68,66,69,12,11,13,8,15
MEIO,74,59,65,59,65,69,73,56,76,66,63,61,71,67,45,55,72,88,32,47,60,67,77,56,71,41,46,47,36,14,11,9,15,7
ZAGUEIRO,46,31,73,70,72,69,58,35,67,39,52,24,50,49,35,34,72,90,45,43,74,74,32,20,18,25,16,27,18,10,11,8,11,9
MEIO,67,67,66,71,68,86,69,54,72,58,58,61,66,62,74,79,84,80,78,70,72,63,72,59,65,51,53,47,47,10,8,7,7,8
MEIO,70,72,31,34,36,61,75,75,43,65,63,66,61,58,84,77,50,72,70,79,65,58,72,67,73,68,69,61,74,11,9,8,9,16
MEIO,67,71,59,65,63,71,67,68,51,58,64,66,68,66,85,87,84,71,62,78,80,73,73,59,64,57,50,59,36,8,7,15,6,7
MEIO,68,59,65,67,66,73,68,67,64,73,65,57,77,75,74,72,79,66,86,82,66,41,78,53,73,71,67,58,52,6,16,10,16,8
ATACANTE,65,66,26,20,37,50,66,74,22,54,69,31,59,40,75,76,83,76,72,71,72,66,68,76,65,39,50,74,70,15,12,13,9,10
ATACANTE,70,75,20,27,29,64,62,66,26,67,69,68,66,63,90,91,70,70,74,77,71,64,76,64,68,69,49,52,63,12,11,13,16,16
ZAGUEIRO,64,69,71,67,70,59,70,70,67,59,59,70,69,59,80,80,78,66,68,80,59,48,73,49,59,70,59,49,49,9,6,9,13,6
ZAGUEIRO,70,68,71,69,70,66,70,63,67,69,70,71,70,67,79,78,69,70,73,76,71,58,69,43,62,73,52,50,43,6,6,12,15,14
ZAGUEIRO,55,42,69,75,76,73,68,24,65,42,39,45,58,56,62,51,54,72,51,51,87,72,62,29,33,44,47,40,42,13,11,14,9,6
ZAGUEIRO,65,62,69,70,67,63,68,58,71,63,52,68,64,60,77,81,84,70,53,73,75,51,61,41,53,56,41,56,34,8,15,16,15,7
ZAGUEIRO,68,69,70,71,70,74,67,58,66,48,59,75,66,68,82,79,80,73,68,72,71,45,70,33,56,71,55,33,39,13,6,11,11,9
GK,19,11,10,19,9,32,69,8,12,33,35,11,24,15,39,41,30,49,38,43,62,13,21,12,16,17,17,19,13,67,74,64,65,74
MEIO,70,72,70,66,70,83,73,63,72,60,72,53,73,74,75,69,85,69,74,78,67,66,76,54,65,64,55,58,59,9,11,8,6,15
GK,25,12,12,11,19,23,68,11,17,11,38,16,26,23,25,30,34,69,44,56,49,15,23,13,15,14,14,14,13,68,72,64,69,73
ATACANTE,68,68,11,15,15,45,68,73,20,57,61,32,61,54,76,69,69,73,63,71,70,67,70,72,66,45,33,62,62,5,6,7,12,14
ATACANTE,69,67,28,26,44,74,66,69,29,67,69,58,63,58,64,74,66,90,58,53,42,65,83,71,66,60,68,74,59,9,15,7,16,11
MEIO,74,75,13,20,18,46,74,72,34,72,57,69,67,62,67,69,77,58,72,79,48,59,60,61,66,63,45,54,67,8,16,13,9,13
GK,24,15,10,17,15,13,60,14,22,32,43,14,25,31,33,33,17,76,50,30,71,19,17,13,13,13,25,22,12,71,74,68,68,72
ZAGUEIRO,68,66,66,74,70,70,68,60,72,54,74,74,70,68,82,68,68,58,86,78,70,52,70,44,64,72,63,50,44,8,12,14,9,14
ZAGUEIRO,57,52,68,74,70,77,59,34,63,45,42,60,57,59,64,72,79,82,56,68,90,76,42,23,35,46,48,49,27,15,10,10,16,16
MEIO,71,71,18,21,22,75,72,73,27,60,64,68,69,49,73,74,80,73,69,74,81,69,75,73,68,58,47,84,70,16,15,15,14,15
GK,14,12,15,12,14,22,61,12,21,49,23,14,24,19,38,50,36,74,34,42,65,15,23,12,16,15,12,21,12,71,74,61,66,74
ATACANTE,65,62,24,17,35,75,68,70,24,54,62,40,54,30,61,71,76,88,45,46,59,77,76,73,62,41,45,70,68,7,7,7,11,13
MEIO,74,75,60,59,67,83,64,70,69,67,62,58,71,70,76,77,79,80,51,67,66,57,69,64,62,59,58,64,47,9,6,10,6,13
ZAGUEIRO,64,57,70,59,73,74,69,46,74,67,60,53,70,70,58,59,75,84,79,59,66,64,65,49,62,58,49,49,58,11,8,10,14,11
MEIO,72,67,64,62,68,75,69,55,68,65,70,67,74,72,64,65,80,69,80,70,55,52,77,46,60,70,68,51,55,12,12,14,11,8
ATACANTE,68,65,15,34,38,61,65,72,24,56,72,56,60,40,75,67,76,79,65,78,87,81,80,64,62,50,60,73,68,7,14,13,6,14
ZAGUEIRO,66,66,66,69,70,77,64,62,71,44,64,69,64,56,79,80,82,70,69,74,67,57,71,49,58,59,47,51,51,9,11,12,12,10
MEIO,76,79,58,57,58,64,67,64,55,67,65,72,66,66,74,71,57,65,65,76,55,46,68,68,73,62,77,78,59,13,9,10,12,13
ZAGUEIRO,57,51,66,68,70,70,66,33,67,40,66,47,60,57,78,83,86,86,68,60,83,71,62,35,35,37,36,42,36,6,12,8,12,11
ZAGUEIRO,76,70,71,70,70,74,73,68,73,62,67,69,69,59,83,77,79,64,70,68,71,67,56,46,53,59,46,61,66,6,8,8,10,8
MEIO,74,76,30,22,28,61,68,66,23,62,73,70,66,63,76,77,67,78,47,59,37,48,78,70,73,74,68,68,63,6,10,7,13,7
MEIO,65,53,72,71,69,80,65,39,72,53,65,40,71,66,70,75,83,78,63,67,81,67,68,37,48,35,37,46,36,15,14,14,9,12
ZAGUEIRO,65,70,63,65,66,82,68,67,64,58,65,68,68,65,88,92,91,78,54,78,68,57,82,56,63,60,67,71,60,12,11,13,16,10
GK,15,17,12,11,12,15,66,14,16,31,43,11,14,13,49,54,31,52,64,66,75,17,17,16,17,15,14,25,14,70,71,62,73,72
ATACANTE,73,70,22,28,34,67,69,68,27,66,76,61,66,60,64,67,70,77,55,67,74,73,73,71,63,69,45,76,72,9,10,13,16,15
ATACANTE,77,66,23,29,41,67,69,71,34,67,71,56,69,53,56,51,70,61,68,73,70,68,75,76,74,51,42,69,68,6,15,12,6,7
ZAGUEIRO,63,61,65,69,68,58,70,54,65,64,67,69,64,58,77,91,92,61,70,71,58,43,82,48,56,65,63,71,44,10,13,11,15,12
ATACANTE,69,67,21,25,31,68,69,80,56,60,69,62,63,59,66,67,70,76,69,64,70,73,66,72,63,59,43,67,63,7,13,7,9,13
ATACANTE,73,71,41,33,36,66,70,72,43,64,71,64,68,49,71,76,66,69,62,69,67,54,76,72,64,64,36,56,73,16,13,15,15,13
MEIO,72,74,22,28,32,58,67,67,43,68,56,69,72,62,77,74,65,59,80,81,60,51,66,62,66,70,64,59,70,12,10,8,14,14
ZAGUEIRO,63,51,70,71,73,66,69,45,72,47,61,47,59,58,68,69,64,70,64,67,85,67,50,36,34,45,30,44,54,16,10,6,10,15
MEIO,68,74,21,29,28,43,65,65,25,69,61,71,65,62,79,78,65,65,68,73,67,64,69,73,65,68,73,65,63,6,6,12,14,9
ZAGUEIRO,67,68,72,70,72,60,63,73,60,55,58,70,66,60,78,88,74,72,65,68,65,57,62,65,50,33,32,52,46,9,12,12,14,8
ZAGUEIRO,71,66,71,71,73,68,67,53,68,50,63,72,66,59,66,68,75,66,75,68,66,62,34,19,28,43,29,25,25,11,13,7,12,10
MEIO,73,68,60,64,68,68,68,60,68,72,72,62,74,74,68,69,74,62,76,73,76,57,71,52,58,57,60,48,51,12,15,7,6,7
MEIO,68,70,63,69,67,71,71,68,70,70,61,60,72,69,68,52,82,73,63,73,65,69,66,63,51,55,63,62,49,11,11,14,12,14
GK,24,21,11,14,15,32,69,16,23,62,39,13,39,41,34,32,36,77,43,58,58,13,17,12,13,10,19,17,12,71,70,73,69,71
ATACANTE,71,71,15,16,21,53,69,73,27,42,65,43,69,35,79,80,72,64,71,80,72,60,69,75,64,53,40,62,63,9,13,8,8,7
GK,25,15,13,12,13,35,70,15,25,51,40,15,27,28,55,57,39,71,50,53,70,14,24,15,15,16,16,16,16,71,70,68,69,72
MEIO,69,65,31,40,66,61,68,64,78,69,65,41,73,70,55,63,84,70,55,79,66,47,69,53,74,53,67,61,44,7,14,7,5,10
ZAGUEIRO,41,16,78,68,72,73,61,61,63,38,65,39,36,41,55,53,68,88,58,57,75,78,57,18,45,22,21,44,27,15,16,8,13,10
ZAGUEIRO,43,29,72,74,75,87,70,39,57,42,57,37,48,44,33,34,58,79,34,30,64,83,57,30,16,41,32,49,29,9,12,7,10,8
ZAGUEIRO,58,53,63,69,67,71,70,47,64,33,67,68,63,45,82,83,82,75,72,63,84,59,58,48,52,58,58,50,59,13,6,7,7,10
MEIO,75,65,60,70,70,77,73,64,71,64,69,66,72,71,69,65,81,70,72,70,55,58,74,49,69,66,64,62,60,8,10,7,5,9
ATACANTE,73,72,32,29,33,63,64,73,31,55,67,45,61,55,72,70,75,80,51,54,60,70,67,74,63,52,43,55,53,8,7,15,16,6
ATACANTE,79,76,19,19,23,73,70,73,25,70,66,69,70,52,77,79,66,69,83,83,75,57,69,69,58,70,61,65,69,12,14,11,15,6
ATACANTE,74,70,34,28,36,46,72,71,33,66,70,64,61,53,76,78,62,64,73,77,70,59,66,74,65,58,54,65,68,11,9,15,7,12
MEIO,63,61,71,74,71,70,69,47,72,60,72,61,70,72,67,66,66,73,68,70,78,69,76,51,74,72,58,65,51,14,11,16,15,9
ATACANTE,70,69,55,48,60,72,61,66,53,62,62,75,66,62,80,77,68,70,73,76,85,72,81,68,66,68,66,67,56,15,10,16,7,13
ZAGUEIRO,68,57,73,68,72,63,66,30,70,55,66,38,66,71,53,62,68,78,33,58,87,67,71,35,54,45,59,41,24,13,14,9,9,12
MEIO,71,76,27,41,39,59,68,69,22,64,68,62,63,50,91,92,66,45,90,93,76,48,74,67,65,66,62,69,63,6,8,10,6,9
MEIO,71,71,60,68,65,72,69,67,69,68,70,73,73,69,74,74,80,66,86,86,80,42,72,66,71,74,69,56,58,15,16,10,6,13
MEIO,73,65,70,55,70,71,71,60,71,76,60,60,76,73,66,66,60,56,81,75,62,52,61,51,69,65,70,59,59,7,5,41,11,21
ZAGUEIRO,39,26,72,74,73,86,67,23,71,27,39,44,41,40,52,55,64,79,48,46,70,72,61,30,19,41,20,35,30,9,11,14,6,11
ZAGUEIRO,72,74,64,71,71,65,68,68,67,43,65,58,64,58,84,86,86,54,78,83,72,54,68,45,29,59,22,46,23,16,7,10,10,16
ZAGUEIRO,56,46,72,72,73,68,62,30,71,36,57,35,46,52,68,69,67,85,60,65,91,62,31,22,26,31,25,39,34,9,6,8,8,16
ATACANTE,69,63,15,11,13,50,69,69,14,51,70,33,59,31,83,82,72,74,74,81,91,66,69,72,58,52,41,74,73,11,14,10,7,11
MEIO,65,47,71,69,72,79,71,42,72,59,53,48,68,61,68,53,88,71,70,71,80,42,44,22,59,54,63,52,33,15,12,13,7,9
ATACANTE,72,72,39,49,59,74,68,72,55,65,63,67,65,63,73,74,80,64,68,69,82,72,68,71,67,69,61,71,66,7,8,14,8,10
GK,23,20,13,14,13,24,64,13,22,31,39,15,36,36,54,46,31,64,34,50,46,14,12,12,19,15,13,43,14,66,75,65,68,74
MEIO,74,71,62,60,66,75,65,65,65,64,65,56,75,73,72,68,70,75,72,68,58,44,75,67,70,68,65,62,60,15,14,8,14,10
ATACANTE,74,71,26,32,36,54,72,75,30,64,74,59,68,50,74,72,71,63,73,76,59,55,71,72,59,74,66,74,71,6,14,9,10,9
ZAGUEIRO,42,35,69,67,81,76,60,43,68,32,64,51,53,58,62,69,82,90,50,65,76,58,75,34,56,40,57,58,34,7,12,8,10,12
ATACANTE,63,63,13,14,13,78,69,72,33,44,72,49,63,32,62,68,65,86,58,57,70,72,73,74,66,57,55,74,73,11,8,15,6,6
ATACANTE,71,77,30,34,31,28,70,65,41,73,63,79,67,57,84,78,73,49,77,78,58,31,73,53,63,82,70,61,63,8,15,16,15,13
MEIO,64,62,72,71,73,90,73,54,74,59,74,47,65,58,71,73,81,75,64,64,81,66,72,62,58,34,35,33,48,10,11,8,15,11
GK,22,9,16,12,9,35,66,14,21,47,26,8,16,19,34,38,25,55,44,37,66,11,12,9,16,10,8,15,9,70,72,75,72,69
ATACANTE,74,73,23,23,24,87,66,70,44,54,65,39,75,60,78,70,60,73,66,75,81,55,75,72,65,42,42,60,46,15,6,12,6,11
MEIO,70,74,33,25,31,72,63,64,35,67,61,77,72,70,76,74,74,52,70,80,56,54,71,69,70,78,68,72,67,12,9,12,7,7
ZAGUEIRO,67,61,69,70,70,66,67,61,68,53,65,69,65,66,79,82,77,72,71,71,80,66,61,44,48,56,32,46,46,6,11,8,15,8
ZAGUEIRO,53,43,67,71,71,80,57,25,67,31,54,30,57,47,53,54,66,84,48,57,75,71,52,22,18,20,27,47,20,11,16,16,6,16
MEIO,73,72,12,15,13,53,66,68,48,68,69,67,63,53,86,82,82,58,83,83,57,62,67,67,61,71,73,67,61,15,10,6,15,13
MEIO,75,64,60,69,70,64,55,61,71,74,53,50,74,77,55,53,72,74,60,63,61,57,72,54,74,50,55,62,67,16,12,12,8,16
MEIO,69,71,69,70,68,86,73,65,70,69,69,60,69,69,68,68,84,69,80,73,79,70,81,62,69,67,58,60,59,10,15,7,10,7
MEIO,73,69,62,63,68,51,71,72,63,69,69,61,73,69,68,65,71,72,60,68,71,73,72,70,72,64,59,63,69,10,8,7,6,6
ZAGUEIRO,72,68,69,72,67,75,67,72,64,53,61,71,62,62,77,83,78,67,67,77,59,63,71,59,62,51,53,68,49,8,14,14,8,7
ZAGUEIRO,68,66,65,72,72,61,62,65,69,56,50,68,65,63,82,81,81,50,87,79,89,43,68,45,67,60,57,64,39,16,13,6,14,16
ZAGUEIRO,57,57,74,70,72,85,61,49,68,42,66,43,59,56,55,52,67,77,51,54,70,68,61,36,44,38,43,52,36,16,14,10,7,12
GK,22,18,15,15,15,34,68,13,16,36,37,14,19,24,51,43,26,78,38,46,66,13,24,12,14,19,15,44,12,69,73,63,68,73
MEIO,73,73,29,22,27,60,65,71,36,68,61,71,71,63,74,78,66,73,69,76,53,64,74,70,65,62,57,73,62,8,11,8,16,6
GK,24,11,11,11,11,34,68,13,17,44,52,11,21,14,41,32,36,74,44,39,70,11,22,11,11,11,11,13,11,75,73,54,64,75
ATACANTE,70,64,17,16,17,48,69,73,26,37,53,39,65,39,66,63,56,71,61,60,34,70,70,77,70,55,60,65,60,11,15,7,10,16
ZAGUEIRO,66,64,72,72,74,80,68,59,69,59,49,59,64,57,72,73,80,81,67,66,73,70,80,49,66,59,50,31,49,14,16,9,16,13
MEIO,68,64,68,68,70,87,68,61,70,64,65,69,70,68,59,57,61,91,44,54,67,76,81,69,76,68,72,53,61,10,7,14,9,9
ZAGUEIRO,72,67,73,73,68,72,67,58,68,49,55,69,69,58,75,73,72,62,84,69,65,52,16,18,22,45,53,51,17,9,16,16,6,13
ZAGUEIRO,67,69,65,70,69,70,72,61,71,55,70,67,66,55,77,81,83,50,87,88,84,52,66,41,45,42,46,43,48,13,14,7,11,12
GK,21,14,12,12,13,19,69,12,13,25,40,11,18,13,47,46,30,57,41,34,57,11,25,12,14,10,12,22,16,72,73,59,67,73
ATACANTE,67,60,26,24,34,72,69,68,43,66,67,51,74,51,51,62,71,87,34,43,67,74,76,73,62,60,51,71,65,15,10,12,6,11
MEIO,70,70,55,45,43,70,68,66,55,76,73,74,74,73,72,69,77,58,87,82,70,46,74,67,77,76,75,68,73,9,7,11,8,11
MEIO,74,75,36,57,48,55,67,64,25,66,66,70,70,60,81,90,74,70,67,82,62,58,70,36,65,70,59,62,56,14,8,14,10,11
ZAGUEIRO,63,69,78,76,68,87,69,48,67,36,50,60,65,50,76,68,80,63,79,70,70,57,58,40,42,48,31,52,34,9,13,6,14,12
GK,23,14,15,17,12,37,65,17,24,43,42,14,12,15,59,59,41,66,44,33,82,17,46,11,13,11,11,37,13,72,74,68,68,71
